Source,Target,Weight,Type
6,39,6.638725e-01,directed
6,40,4.760488e-01,directed
6,41,9.979428e-01,directed
6,43,6.771180e-01,directed
6,44,4.220648e-01,directed
6,45,7.112003e-02,directed
6,47,7.112003e-02,directed
7,11,1.057603e-01,directed
7,13,7.157445e-02,directed
7,14,1.883812e-02,directed
7,15,9.971449e-01,directed
7,18,1.215933e-01,directed
7,24,8.762992e-01,directed
7,26,1.359693e-01,directed
7,29,3.823572e-02,directed
7,30,8.762992e-01,directed
7,34,8.834091e-01,directed
7,37,9.736767e-01,directed
7,39,9.940302e-01,directed
7,40,1.578862e-02,directed
7,41,1.202497e-02,directed
7,43,1.168788e-01,directed
7,44,1.516209e-01,directed
8,7,9.561470e-01,directed
8,11,9.798688e-01,directed
8,12,9.778432e-01,directed
8,13,4.201945e-02,directed
8,15,1.528761e-01,directed
8,18,1,directed
8,26,1.166409e-01,directed
8,29,6.458802e-02,directed
8,31,8.453509e-01,directed
8,32,6.915360e-02,directed
8,34,2.336861e-03,directed
8,37,9.736767e-01,directed
8,39,2.075540e-01,directed
8,40,9.289118e-01,directed
8,41,8.757585e-02,directed
8,43,1.283465e-01,directed
8,44,9.257542e-02,directed
9,3,1.016656e-02,directed
9,8,9.374021e-02,directed
9,11,2.092491e-02,directed
9,12,6.040895e-02,directed
9,13,9.940302e-01,directed
9,14,8.904916e-01,directed
9,15,9.971449e-01,directed
9,18,6.922918e-02,directed
9,24,4.645710e-03,directed
9,25,3.218413e-02,directed
9,26,9.957275e-01,directed
9,29,7.300904e-02,directed
9,30,1.511811e-01,directed
9,32,2.556511e-02,directed
9,37,8.401366e-02,directed
9,38,7.352847e-01,directed
9,39,6.191146e-02,directed
9,40,9.289118e-01,directed
9,41,5.899663e-02,directed
9,43,1.711225e-01,directed
9,44,1.533943e-02,directed
9,45,3.619877e-01,directed
9,47,3.619877e-01,directed
10,1,4.394970e-01,directed
10,3,2.146864e-01,directed
10,5,4.394970e-01,directed
10,7,9.561470e-01,directed
10,8,8.904916e-01,directed
10,11,2.151012e-01,directed
10,12,2.700301e-01,directed
10,13,2.404355e-01,directed
10,14,3.896030e-01,directed
10,15,3.295215e-01,directed
10,17,3.619877e-01,directed
10,18,2.657478e-01,directed
10,22,3.903491e-02,directed
10,24,1.338710e-01,directed
10,25,9.038377e-01,directed
10,26,9.957275e-01,directed
10,29,2.977432e-01,directed
10,30,5.106228e-02,directed
